"crime","neighbourhood","incidents","year"
"Arson","Al Ritchie",8,2013
"Assault","Al Ritchie",92,2013
"Attempt Murder","Al Ritchie",0,2013
"B&E (Business)","Al Ritchie",2,2013
"B&E (Garage)","Al Ritchie",35,2013
"B&E (Other)","Al Ritchie",11,2013
"B&E (Residence)","Al Ritchie",29,2013
"B&E Motor Vehicle Firearms","Al Ritchie",4,2013
"Controlled Drugs","Al Ritchie",28,2013
"Crimes Against Property(2150-2166)","Al Ritchie",45,2013
"Dangerous Operation","Al Ritchie",3,2013
"Deprivation of Freedom","Al Ritchie",12,2013
"Gaming&Betting","Al Ritchie",113,2013
"HWY Traffic Violation","Al Ritchie",49,2013
"Impaired Operation","Al Ritchie",112,2013
"Mischief","Al Ritchie",9,2013
"Municipal ByLaws","Al Ritchie",12,2013
"Offensive Weapons","Al Ritchie",15,2013
"Other Crminal Code Traffic","Al Ritchie",8,2013
"Other Federal Statute Violations","Al Ritchie",8,2013
"Other Theft Over","Al Ritchie",64,2013
"Other Theft Under","Al Ritchie",81,2013
"OtherCriminalCode (A)","Al Ritchie",7,2013
"OtherCriminalCode (B)","Al Ritchie",9,2013
"Prostitution","Al Ritchie",96,2013
"Provincial Statutes","Al Ritchie",4,2013
"Sexual Assault","Al Ritchie",0,2013
"Shoplift Over","Al Ritchie",45,2013
"Shoplift Under","Al Ritchie",448,2013
"Special Inq(8510-8640)","Al Ritchie",325,2013
"Special Inq(8660-8814)","Al Ritchie",0,2013
"Theft From Auto Over","Al Ritchie",31,2013
"Theft From Auto Under","Al Ritchie",81,2013
"Theft of Motor Vehicle VA, VT","Al Ritchie",47,2013
"Theft of Other Vehicle VM, VO","Al Ritchie",2,2013
"Violation Causing Death","Al Ritchie",8,2013
"Violence/Threat","Al Ritchie",467,2013
"Total","Al Ritchie",1416,2013
"Arson","Albert Park",8,2013
"Assault","Albert Park",44,2013
"Attempt Murder","Albert Park",0,2013
"B&E (Business)","Albert Park",2,2013
"B&E (Garage)","Albert Park",11,2013
"B&E (Other)","Albert Park",12,2013
"B&E (Residence)","Albert Park",35,2013
"B&E Motor Vehicle Firearms","Albert Park",2,2013
"Controlled Drugs","Albert Park",25,2013
"Crimes Against Property(2150-2166)","Albert Park",64,2013
"Dangerous Operation","Albert Park",7,2013
"Deprivation of Freedom","Albert Park",28,2013
"Gaming&Betting","Albert Park",304,2013
"HWY Traffic Violation","Albert Park",29,2013
"Impaired Operation","Albert Park",93,2013
"Mischief","Albert Park",5,2013
"Municipal ByLaws","Albert Park",10,2013
"Offensive Weapons","Albert Park",5,2013
"Other Crminal Code Traffic","Albert Park",7,2013
"Other Federal Statute Violations","Albert Park",10,2013
"Other Theft Over","Albert Park",96,2013
"Other Theft Under","Albert Park",61,2013
"OtherCriminalCode (A)","Albert Park",5,2013
"OtherCriminalCode (B)","Albert Park",9,2013
"Prostitution","Albert Park",105,2013
"Provincial Statutes","Albert Park",5,2013
"Sexual Assault","Albert Park",7,2013
"Shoplift Over","Albert Park",104,2013
"Shoplift Under","Albert Park",353,2013
"Special Inq(8510-8640)","Albert Park",380,2013
"Special Inq(8660-8814)","Albert Park",0,2013
"Theft From Auto Over","Albert Park",20,2013
"Theft From Auto Under","Albert Park",85,2013
"Theft of Motor Vehicle VA, VT","Albert Park",18,2013
"Theft of Other Vehicle VM, VO","Albert Park",1,2013
"Violation Causing Death","Albert Park",5,2013
"Violence/Threat","Albert Park",528,2013
"Total","Albert Park",1467,2013
"Arson","Argyle Park",2,2013
"Assault","Argyle Park",19,2013
"Attempt Murder","Argyle Park",0,2013
"B&E (Business)","Argyle Park",1,2013
"B&E (Garage)","Argyle Park",2,2013
"B&E (Other)","Argyle Park",6,2013
"B&E (Residence)","Argyle Park",11,2013
"B&E Motor Vehicle Firearms","Argyle Park",0,2013
"Controlled Drugs","Argyle Park",16,2013
"Crimes Against Property(2150-2166)","Argyle Park",13,2013
"Dangerous Operation","Argyle Park",2,2013
"Deprivation of Freedom","Argyle Park",6,2013
"Gaming&Betting","Argyle Park",106,2013
"HWY Traffic Violation","Argyle Park",7,2013
"Impaired Operation","Argyle Park",37,2013
"Mischief","Argyle Park",5,2013
"Municipal ByLaws","Argyle Park",1,2013
