"crime","neighbourhood","incidents","year"
"Arson","Al Ritchie",3,2009
"Assault","Al Ritchie",110,2009
"Attempted Murder","Al Ritchie",0,2009
"B&E (Business)","Al Ritchie",5,2009
"B&E (Garage)","Al Ritchie",36,2009
"B&E (Other)","Al Ritchie",7,2009
"B&E (Residence)","Al Ritchie",49,2009
"Counterfeit","Al Ritchie",5,2009
"Criminal Negligence Causing Death","Al Ritchie",1,2009
"Dangerous Operation of a Motor Vehicle","Al Ritchie",4,2009
"Deprivation of Freedom","Al Ritchie",0,2009
"Driving Suspensions","Al Ritchie",53,2009
"Drugs&Controlled Substances","Al Ritchie",17,2009
"Drugs/Substances","Al Ritchie",8,2009
"Escape Lawful Custody","Al Ritchie",0,2009
"Federal Statutes","Al Ritchie",16,2009
"Firearms offense","Al Ritchie",0,2009
"Fraud","Al Ritchie",26,2009
"Impaired Driving","Al Ritchie",24,2009
"Indecent Acts","Al Ritchie",0,2009
"Manslaughter","Al Ritchie",0,2009
"Mischief","Al Ritchie",149,2009
"Motor Vehicle Accidents","Al Ritchie",84,2009
"Municipal Bylaws","Al Ritchie",33,2009
"Murder 1st Degree","Al Ritchie",0,2009
"Murder 2nd Degree","Al Ritchie",1,2009
"Offensive Weapons","Al Ritchie",7,2009
"Other Criminal Acts","Al Ritchie",8,2009
"Other Criminal Code Driving Violations","Al Ritchie",0,2009
"Other Sexual Crime","Al Ritchie",3,2009
"Property Damage","Al Ritchie",0,2009
"Prostitution","Al Ritchie",0,2009
"Provincial Statute Driving Violations","Al Ritchie",94,2009
"Provincial Statutes","Al Ritchie",66,2009
"Robbery","Al Ritchie",3,2009
"Robbery-Commercial","Al Ritchie",3,2009
"Robbery-Person","Al Ritchie",7,2009
"Robbery-Taxi","Al Ritchie",0,2009
"Seized Vehicles","Al Ritchie",133,2009
"Sexual Assault","Al Ritchie",6,2009
"Theft From Auto Over $5K","Al Ritchie",2,2009
"Theft From Auto Under $5K","Al Ritchie",97,2009
"Theft of Auto","Al Ritchie",66,2009
"Theft Over $5K","Al Ritchie",1,2009
"Theft Under $5K","Al Ritchie",89,2009
"Threatening","Al Ritchie",2,2009
"Traffic Tickets","Al Ritchie",1,2009
"Trafficking and possession stolen goods","Al Ritchie",14,2009
"Violence/Threats","Al Ritchie",25,2009
"Total","Al Ritchie",1258,2009
"Arson","Albert Park",3,2009
"Assault","Albert Park",49,2009
"Attempted Murder","Albert Park",0,2009
"B&E (Business)","Albert Park",9,2009
"B&E (Garage)","Albert Park",18,2009
"B&E (Other)","Albert Park",8,2009
"B&E (Residence)","Albert Park",32,2009
"Counterfeit","Albert Park",12,2009
"Criminal Negligence Causing Death","Albert Park",0,2009
"Dangerous Operation of a Motor Vehicle","Albert Park",2,2009
"Deprivation of Freedom","Albert Park",0,2009
"Driving Suspensions","Albert Park",36,2009
"Drugs&Controlled Substances","Albert Park",15,2009
"Drugs/Substances","Albert Park",0,2009
"Escape Lawful Custody","Albert Park",0,2009
"Federal Statutes","Albert Park",15,2009
"Firearms offense","Albert Park",0,2009
"Fraud","Albert Park",42,2009
"Impaired Driving","Albert Park",9,2009
"Indecent Acts","Albert Park",3,2009
"Manslaughter","Albert Park",0,2009
"Mischief","Albert Park",168,2009
"Motor Vehicle Accidents","Albert Park",144,2009
"Municipal Bylaws","Albert Park",11,2009
"Murder 1st Degree","Albert Park",0,2009
"Murder 2nd Degree","Albert Park",0,2009
"Offensive Weapons","Albert Park",5,2009
"Other Criminal Acts","Albert Park",11,2009
"Other Criminal Code Driving Violations","Albert Park",0,2009
"Other Sexual Crime","Albert Park",0,2009
"Property Damage","Albert Park",0,2009
"Prostitution","Albert Park",0,2009
"Provincial Statute Driving Violations","Albert Park",192,2009
"Provincial Statutes","Albert Park",46,2009
"Robbery","Albert Park",2,2009
"Robbery-Commercial","Albert Park",2,2009
"Robbery-Person","Albert Park",3,2009
"Robbery-Taxi","Albert Park",0,2009
"Seized Vehicles","Albert Park",93,2009
"Sexual Assault","Albert Park",4,2009
"Theft From Auto Over $5K","Albert Park",1,2009
"Theft From Auto Under $5K","Albert Park",121,2009
"Theft of Auto","Albert Park",36,2009
"Theft Over $5K","Albert Park",3,2009
"Theft Under $5K","Albert Park",179,2009
"Threatening","Albert Park",3,2009
"Traffic Tickets","Albert Park",2,2009
"Trafficking and possession stolen goods","Albert Park",11,2009
"Violence/Threats","Albert Park",18,2009
"Total","Albert Park",1308,2009
"Arson","Argyle Park",2,2009
"Assault","Argyle Park",37,2009
"Attempted Murder","Argyle Park",0,2009
"B&E (Business)","Argyle Park",0,2009
"B&E (Garage)","Argyle Park",2,2009
"B&E (Other)","Argyle Park",0,2009
"B&E (Residence)","Argyle Park",6,2009
"Counterfeit","Argyle Park",7,2009
"Criminal Negligence Causing Death","Argyle Park",0,2009
"Dangerous Operation of a Motor Vehicle","Argyle Park",1,2009
"Deprivation of Freedom","Argyle Park",0,2009
"Driving Suspensions","Argyle Park",19,2009
"Drugs&Controlled Substances","Argyle Park",3,2009
"Drugs/Substances","Argyle Park",0,2009
"Escape Lawful Custody","Argyle Park",1,2009
"Federal Statutes","Argyle Park",3,2009
"Firearms offense","Argyle Park",2,2009
"Fraud","Argyle Park",13,2009
"Impaired Driving","Argyle Park",6,2009
"Indecent Acts","Argyle Park",1,2009
"Manslaughter","Argyle Park",0,2009
"Mischief","Argyle Park",49,2009
"Motor Vehicle Accidents","Argyle Park",59,2009
"Municipal Bylaws","Argyle Park",8,2009
"Murder 1st Degree","Argyle Park",0,2009
"Murder 2nd Degree","Argyle Park",0,2009
"Offensive Weapons","Argyle Park",5,2009
"Other Criminal Acts","Argyle Park",11,2009
"Other Criminal Code Driving Violations","Argyle Park",0,2009
"Other Sexual Crime","Argyle Park",0,2009
"Property Damage","Argyle Park",0,2009
"Prostitution","Argyle Park",0,2009
"Provincial Statute Driving Violations","Argyle Park",82,2009
"Provincial Statutes","Argyle Park",19,2009
"Robbery","Argyle Park",0,2009
"Robbery-Commercial","Argyle Park",0,2009
"Robbery-Person","Argyle Park",1,2009
"Robbery-Taxi","Argyle Park",0,2009
"Seized Vehicles","Argyle Park",39,2009
"Sexual Assault","Argyle Park",1,2009
"Theft From Auto Over $5K","Argyle Park",1,2009
"Theft From Auto Under $5K","Argyle Park",28,2009
"Theft of Auto","Argyle Park",17,2009
"Theft Over $5K","Argyle Park",3,2009
"Theft Under $5K","Argyle Park",117,2009
"Threatening","Argyle Park",1,2009
"Traffic Tickets","Argyle Park",0,2009
"Trafficking and possession stolen goods","Argyle Park",6,2009
"Violence/Threats","Argyle Park",12,2009
"Total","Argyle Park",562,2009
"Arson","Boothill",0,2009
"Assault","Boothill",12,2009
"Attempted Murder","Boothill",0,2009
