"crime","neighbourhood","incidents","year"
"B&E (Business)","Boothill",0,2009
"B&E (Garage)","Boothill",9,2009
"B&E (Other)","Boothill",0,2009
"B&E (Residence)","Boothill",6,2009
"Counterfeit","Boothill",0,2009
"Criminal Negligence Causing Death","Boothill",0,2009
"Dangerous Operation of a Motor Vehicle","Boothill",3,2009
"Deprivation of Freedom","Boothill",1,2009
"Driving Suspensions","Boothill",2,2009
"Drugs&Controlled Substances","Boothill",5,2009
"Drugs/Substances","Boothill",0,2009
"Escape Lawful Custody","Boothill",0,2009
"Federal Statutes","Boothill",3,2009
"Firearms offense","Boothill",0,2009
"Fraud","Boothill",1,2009
"Impaired Driving","Boothill",1,2009
"Indecent Acts","Boothill",0,2009
"Manslaughter","Boothill",0,2009
"Mischief","Boothill",44,2009
"Motor Vehicle Accidents","Boothill",12,2009
"Municipal Bylaws","Boothill",1,2009
"Murder 1st Degree","Boothill",0,2009
"Murder 2nd Degree","Boothill",0,2009
"Offensive Weapons","Boothill",0,2009
"Other Criminal Acts","Boothill",0,2009
"Other Criminal Code Driving Violations","Boothill",0,2009
"Other Sexual Crime","Boothill",0,2009
"Property Damage","Boothill",0,2009
"Prostitution","Boothill",0,2009
"Provincial Statute Driving Violations","Boothill",17,2009
"Provincial Statutes","Boothill",9,2009
"Robbery","Boothill",0,2009
"Robbery-Commercial","Boothill",0,2009
"Robbery-Person","Boothill",0,2009
"Robbery-Taxi","Boothill",0,2009
"Seized Vehicles","Boothill",27,2009
"Sexual Assault","Boothill",0,2009
"Theft From Auto Over $5K","Boothill",0,2009
"Theft From Auto Under $5K","Boothill",32,2009
"Theft of Auto","Boothill",15,2009
"Theft Over $5K","Boothill",0,2009
"Theft Under $5K","Boothill",12,2009
"Threatening","Boothill",0,2009
"Traffic Tickets","Boothill",0,2009
"Trafficking and possession stolen goods","Boothill",5,2009
"Violence/Threats","Boothill",3,2009
"Total","Boothill",220,2009
"Arson","Cathedral",2,2009
"Assault","Cathedral",78,2009
"Attempted Murder","Cathedral",0,2009
"B&E (Business)","Cathedral",9,2009
"B&E (Garage)","Cathedral",41,2009
"B&E (Other)","Cathedral",6,2009
"B&E (Residence)","Cathedral",63,2009
"Counterfeit","Cathedral",2,2009
"Criminal Negligence Causing Death","Cathedral",0,2009
"Dangerous Operation of a Motor Vehicle","Cathedral",7,2009
"Deprivation of Freedom","Cathedral",0,2009
"Driving Suspensions","Cathedral",63,2009
"Drugs&Controlled Substances","Cathedral",23,2009
"Drugs/Substances","Cathedral",4,2009
"Escape Lawful Custody","Cathedral",0,2009
"Federal Statutes","Cathedral",26,2009
"Firearms offense","Cathedral",1,2009
"Fraud","Cathedral",46,2009
"Impaired Driving","Cathedral",33,2009
"Indecent Acts","Cathedral",7,2009
"Manslaughter","Cathedral",0,2009
"Mischief","Cathedral",164,2009
"Motor Vehicle Accidents","Cathedral",97,2009
"Municipal Bylaws","Cathedral",26,2009
"Murder 1st Degree","Cathedral",0,2009
"Murder 2nd Degree","Cathedral",0,2009
"Offensive Weapons","Cathedral",8,2009
"Other Criminal Acts","Cathedral",18,2009
"Other Criminal Code Driving Violations","Cathedral",4,2009
"Other Sexual Crime","Cathedral",5,2009
"Property Damage","Cathedral",1,2009
"Prostitution","Cathedral",1,2009
"Provincial Statute Driving Violations","Cathedral",156,2009
"Provincial Statutes","Cathedral",115,2009
"Robbery","Cathedral",3,2009
"Robbery-Commercial","Cathedral",5,2009
"Robbery-Person","Cathedral",8,2009
"Robbery-Taxi","Cathedral",1,2009
"Seized Vehicles","Cathedral",196,2009
"Sexual Assault","Cathedral",5,2009
"Theft From Auto Over $5K","Cathedral",1,2009
"Theft From Auto Under $5K","Cathedral",76,2009
"Theft of Auto","Cathedral",53,2009
"Theft Over $5K","Cathedral",2,2009
"Theft Under $5K","Cathedral",102,2009
"Threatening","Cathedral",4,2009
"Traffic Tickets","Cathedral",3,2009
"Trafficking and possession stolen goods","Cathedral",15,2009
"Violence/Threats","Cathedral",17,2009
"Total","Cathedral",1497,2009
"Arson","Centre Square",0,2009
"Assault","Centre Square",35,2009
"Attempted Murder","Centre Square",0,2009
"B&E (Business)","Centre Square",5,2009
"B&E (Garage)","Centre Square",1,2009
"B&E (Other)","Centre Square",21,2009
"B&E (Residence)","Centre Square",18,2009
"Counterfeit","Centre Square",1,2009
"Criminal Negligence Causing Death","Centre Square",0,2009
"Dangerous Operation of a Motor Vehicle","Centre Square",3,2009
"Deprivation of Freedom","Centre Square",1,2009
"Driving Suspensions","Centre Square",11,2009
"Drugs&Controlled Substances","Centre Square",7,2009
"Drugs/Substances","Centre Square",1,2009
"Escape Lawful Custody","Centre Square",1,2009
"Federal Statutes","Centre Square",3,2009
"Firearms offense","Centre Square",0,2009
"Fraud","Centre Square",23,2009
"Impaired Driving","Centre Square",4,2009
"Indecent Acts","Centre Square",1,2009
"Manslaughter","Centre Square",0,2009
"Mischief","Centre Square",58,2009
"Motor Vehicle Accidents","Centre Square",34,2009
"Municipal Bylaws","Centre Square",7,2009
"Murder 1st Degree","Centre Square",0,2009
"Murder 2nd Degree","Centre Square",0,2009
"Offensive Weapons","Centre Square",10,2009
"Other Criminal Acts","Centre Square",10,2009
"Other Criminal Code Driving Violations","Centre Square",1,2009
"Other Sexual Crime","Centre Square",5,2009
"Property Damage","Centre Square",0,2009
"Prostitution","Centre Square",0,2009
"Provincial Statute Driving Violations","Centre Square",43,2009
"Provincial Statutes","Centre Square",65,2009
"Robbery","Centre Square",2,2009
"Robbery-Commercial","Centre Square",0,2009
"Robbery-Person","Centre Square",2,2009
"Robbery-Taxi","Centre Square",0,2009
"Seized Vehicles","Centre Square",40,2009
"Sexual Assault","Centre Square",7,2009
"Theft From Auto Over $5K","Centre Square",0,2009
"Theft From Auto Under $5K","Centre Square",18,2009
"Theft of Auto","Centre Square",16,2009
"Theft Over $5K","Centre Square",0,2009
"Theft Under $5K","Centre Square",85,2009
"Threatening","Centre Square",0,2009
"Traffic Tickets","Centre Square",2,2009
"Trafficking and possession stolen goods","Centre Square",10,2009
"Violence/Threats","Centre Square",14,2009
"Total","Centre Square",565,2009
"Arson","Core Group",1,2009
"Assault","Core Group",160,2009
"Attempted Murder","Core Group",0,2009
"B&E (Business)","Core Group",11,2009
"B&E (Garage)","Core Group",11,2009
"B&E (Other)","Core Group",8,2009
"B&E (Residence)","Core Group",66,2009
"Counterfeit","Core Group",1,2009
"Criminal Negligence Causing Death","Core Group",0,2009
"Dangerous Operation of a Motor Vehicle","Core Group",13,2009
"Deprivation of Freedom","Core Group",1,2009
"Driving Suspensions","Core Group",87,2009
"Drugs&Controlled Substances","Core Group",32,2009
"Drugs/Substances","Core Group",2,2009
"Escape Lawful Custody","Core Group",3,2009
"Federal Statutes","Core Group",212,2009
"Firearms offense","Core Group",1,2009
"Fraud","Core Group",35,2009
"Impaired Driving","Core Group",35,2009
"Indecent Acts","Core Group",1,2009
"Manslaughter","Core Group",0,2009
"Mischief","Core Group",138,2009
"Motor Vehicle Accidents","Core Group",103,2009
"Municipal Bylaws","Core Group",16,2009
"Murder 1st Degree","Core Group",0,2009
"Murder 2nd Degree","Core Group",0,2009
"Offensive Weapons","Core Group",22,2009
"Other Criminal Acts","Core Group",26,2009
"Other Criminal Code Driving Violations","Core Group",3,2009
"Other Sexual Crime","Core Group",2,2009
"Property Damage","Core Group",0,2009
"Prostitution","Core Group",15,2009
"Provincial Statute Driving Violations","Core Group",218,2009
"Provincial Statutes","Core Group",531,2009
"Robbery","Core Group",7,2009
"Robbery-Commercial","Core Group",3,2009
"Robbery-Person","Core Group",21,2009
"Robbery-Taxi","Core Group",2,2009
"Seized Vehicles","Core Group",296,2009
"Sexual Assault","Core Group",6,2009
"Theft From Auto Over $5K","Core Group",1,2009
"Theft From Auto Under $5K","Core Group",83,2009
"Theft of Auto","Core Group",55,2009
"Theft Over $5K","Core Group",4,2009
"Theft Under $5K","Core Group",149,2009
"Threatening","Core Group",3,2009
"Traffic Tickets","Core Group",8,2009
"Trafficking and possession stolen goods","Core Group",45,2009
"Violence/Threats","Core Group",24,2009
"Total","Core Group",2461,2009
"Arson","Coronation Park",2,2009
"Assault","Coronation Park",96,2009
"Attempted Murder","Coronation Park",0,2009
"B&E (Business)","Coronation Park",5,2009
"B&E (Garage)","Coronation Park",13,2009
"B&E (Other)","Coronation Park",4,2009
"B&E (Residence)","Coronation Park",33,2009
"Counterfeit","Coronation Park",2,2009
"Criminal Negligence Causing Death","Coronation Park",0,2009
"Dangerous Operation of a Motor Vehicle","Coronation Park",6,2009
"Deprivation of Freedom","Coronation Park",0,2009
"Driving Suspensions","Coronation Park",105,2009
"Drugs&Controlled Substances","Coronation Park",28,2009
"Drugs/Substances","Coronation Park",2,2009
"Escape Lawful Custody","Coronation Park",0,2009
"Federal Statutes","Coronation Park",18,2009
"Firearms offense","Coronation Park",2,2009
"Fraud","Coronation Park",12,2009
"Impaired Driving","Coronation Park",38,2009
"Indecent Acts","Coronation Park",2,2009
"Manslaughter","Coronation Park",0,2009
"Mischief","Coronation Park",123,2009
"Motor Vehicle Accidents","Coronation Park",69,2009
"Municipal Bylaws","Coronation Park",8,2009
"Murder 1st Degree","Coronation Park",0,2009
"Murder 2nd Degree","Coronation Park",0,2009
"Offensive Weapons","Coronation Park",16,2009
"Other Criminal Acts","Coronation Park",14,2009
"Other Criminal Code Driving Violations","Coronation Park",8,2009
"Other Sexual Crime","Coronation Park",1,2009
"Property Damage","Coronation Park",0,2009
"Prostitution","Coronation Park",2,2009
"Provincial Statute Driving Violations","Coronation Park",147,2009
"Provincial Statutes","Coronation Park",87,2009
"Robbery","Coronation Park",4,2009
"Robbery-Commercial","Coronation Park",4,2009
"Robbery-Person","Coronation Park",13,2009
"Robbery-Taxi","Coronation Park",0,2009
"Seized Vehicles","Coronation Park",258,2009
"Sexual Assault","Coronation Park",5,2009
"Theft From Auto Over $5K","Coronation Park",1,2009
"Theft From Auto Under $5K","Coronation Park",72,2009
"Theft of Auto","Coronation Park",55,2009
"Theft Over $5K","Coronation Park",2,2009
"Theft Under $5K","Coronation Park",146,2009
"Threatening","Coronation Park",4,2009
"Traffic Tickets","Coronation Park",5,2009
"Trafficking and possession stolen goods","Coronation Park",18,2009
"Violence/Threats","Coronation Park",25,2009
"Total","Coronation Park",1455,2009
"Arson","Dewdney East",2,2009
"Assault","Dewdney East",109,2009
"Attempted Murder","Dewdney East",0,2009
"B&E (Business)","Dewdney East",7,2009
"B&E (Garage)","Dewdney East",38,2009
"B&E (Other)","Dewdney East",10,2009
"B&E (Residence)","Dewdney East",72,2009
"Counterfeit","Dewdney East",8,2009
"Criminal Negligence Causing Death","Dewdney East",0,2009
"Dangerous Operation of a Motor Vehicle","Dewdney East",14,2009
"Deprivation of Freedom","Dewdney East",0,2009
"Driving Suspensions","Dewdney East",92,2009
"Drugs&Controlled Substances","Dewdney East",28,2009
"Drugs/Substances","Dewdney East",3,2009
"Escape Lawful Custody","Dewdney East",1,2009
"Federal Statutes","Dewdney East",12,2009
"Firearms offense","Dewdney East",0,2009
"Fraud","Dewdney East",30,2009
"Impaired Driving","Dewdney East",54,2009
"Indecent Acts","Dewdney East",2,2009
"Manslaughter","Dewdney East",0,2009
"Mischief","Dewdney East",232,2009
"Motor Vehicle Accidents","Dewdney East",145,2009
"Municipal Bylaws","Dewdney East",25,2009
"Murder 1st Degree","Dewdney East",0,2009
"Murder 2nd Degree","Dewdney East",1,2009
"Offensive Weapons","Dewdney East",6,2009
"Other Criminal Acts","Dewdney East",26,2009
"Other Criminal Code Driving Violations","Dewdney East",3,2009
"Other Sexual Crime","Dewdney East",3,2009
"Property Damage","Dewdney East",0,2009
"Prostitution","Dewdney East",0,2009
"Provincial Statute Driving Violations","Dewdney East",182,2009
"Provincial Statutes","Dewdney East",104,2009
"Robbery","Dewdney East",7,2009
"Robbery-Commercial","Dewdney East",3,2009
"Robbery-Person","Dewdney East",7,2009
"Robbery-Taxi","Dewdney East",1,2009
"Seized Vehicles","Dewdney East",195,2009
"Sexual Assault","Dewdney East",13,2009
"Theft From Auto Over $5K","Dewdney East",0,2009
"Theft From Auto Under $5K","Dewdney East",154,2009
"Theft of Auto","Dewdney East",94,2009
"Theft Over $5K","Dewdney East",2,2009
"Theft Under $5K","Dewdney East",201,2009
"Threatening","Dewdney East",1,2009
"Traffic Tickets","Dewdney East",4,2009
"Trafficking and possession stolen goods","Dewdney East",27,2009
"Violence/Threats","Dewdney East",42,2009
"Total","Dewdney East",1960,2009
"Arson","Dieppe",0,2009
"Assault","Dieppe",14,2009
"Attempted Murder","Dieppe",0,2009
"B&E (Business)","Dieppe",1,2009
"B&E (Garage)","Dieppe",2,2009
"B&E (Other)","Dieppe",1,2009
"B&E (Residence)","Dieppe",7,2009
"Counterfeit","Dieppe",0,2009
"Criminal Negligence Causing Death","Dieppe",0,2009
"Dangerous Operation of a Motor Vehicle","Dieppe",1,2009
"Deprivation of Freedom","Dieppe",1,2009
"Driving Suspensions","Dieppe",3,2009
"Drugs&Controlled Substances","Dieppe",3,2009
"Drugs/Substances","Dieppe",1,2009
"Escape Lawful Custody","Dieppe",0,2009
"Federal Statutes","Dieppe",4,2009
"Firearms offense","Dieppe",0,2009
"Fraud","Dieppe",4,2009
"Impaired Driving","Dieppe",0,2009
"Indecent Acts","Dieppe",0,2009
"Manslaughter","Dieppe",0,2009
"Mischief","Dieppe",19,2009
"Motor Vehicle Accidents","Dieppe",7,2009
"Municipal Bylaws","Dieppe",2,2009
"Murder 1st Degree","Dieppe",0,2009
"Murder 2nd Degree","Dieppe",0,2009
"Offensive Weapons","Dieppe",0,2009
"Other Criminal Acts","Dieppe",2,2009
"Other Criminal Code Driving Violations","Dieppe",2,2009
"Other Sexual Crime","Dieppe",1,2009
"Property Damage","Dieppe",0,2009
"Prostitution","Dieppe",0,2009
"Provincial Statute Driving Violations","Dieppe",14,2009
"Provincial Statutes","Dieppe",7,2009
"Robbery","Dieppe",0,2009
"Robbery-Commercial","Dieppe",0,2009
"Robbery-Person","Dieppe",1,2009
"Robbery-Taxi","Dieppe",0,2009
"Seized Vehicles","Dieppe",15,2009
"Sexual Assault","Dieppe",2,2009
"Theft From Auto Over $5K","Dieppe",0,2009
"Theft From Auto Under $5K","Dieppe",13,2009
"Theft of Auto","Dieppe",4,2009
"Theft Over $5K","Dieppe",0,2009
"Theft Under $5K","Dieppe",20,2009
"Threatening","Dieppe",0,2009
"Traffic Tickets","Dieppe",0,2009
"Trafficking and possession stolen goods","Dieppe",3,2009
"Violence/Threats","Dieppe",5,2009
"Total","Dieppe",159,2009
"Arson","Eastview",2,2009
"Assault","Eastview",53,2009
"Attempted Murder","Eastview",0,2009
"B&E (Business)","Eastview",26,2009
"B&E (Garage)","Eastview",12,2009
"B&E (Other)","Eastview",18,2009
"B&E (Residence)","Eastview",28,2009
"Counterfeit","Eastview",0,2009
"Criminal Negligence Causing Death","Eastview",0,2009
"Dangerous Operation of a Motor Vehicle","Eastview",4,2009
"Deprivation of Freedom","Eastview",0,2009
"Driving Suspensions","Eastview",56,2009
"Drugs&Controlled Substances","Eastview",8,2009
"Drugs/Substances","Eastview",2,2009
"Escape Lawful Custody","Eastview",0,2009
"Federal Statutes","Eastview",9,2009
"Firearms offense","Eastview",0,2009
"Fraud","Eastview",8,2009
"Impaired Driving","Eastview",14,2009
"Indecent Acts","Eastview",1,2009
"Manslaughter","Eastview",0,2009
"Mischief","Eastview",70,2009
"Motor Vehicle Accidents","Eastview",43,2009
"Municipal Bylaws","Eastview",7,2009
"Murder 1st Degree","Eastview",0,2009
"Murder 2nd Degree","Eastview",0,2009
"Offensive Weapons","Eastview",5,2009
"Other Criminal Acts","Eastview",6,2009
"Other Criminal Code Driving Violations","Eastview",5,2009
"Other Sexual Crime","Eastview",2,2009
"Property Damage","Eastview",0,2009
"Prostitution","Eastview",0,2009
"Provincial Statute Driving Violations","Eastview",109,2009
"Provincial Statutes","Eastview",47,2009
"Robbery","Eastview",0,2009
"Robbery-Commercial","Eastview",1,2009
"Robbery-Person","Eastview",2,2009
"Robbery-Taxi","Eastview",0,2009
"Seized Vehicles","Eastview",157,2009
"Sexual Assault","Eastview",1,2009
"Theft From Auto Over $5K","Eastview",0,2009
"Theft From Auto Under $5K","Eastview",57,2009
"Theft of Auto","Eastview",41,2009
"Theft Over $5K","Eastview",6,2009
"Theft Under $5K","Eastview",50,2009
"Threatening","Eastview",0,2009
"Traffic Tickets","Eastview",2,2009
"Trafficking and possession stolen goods","Eastview",17,2009
"Violence/Threats","Eastview",14,2009
"Total","Eastview",883,2009
"Arson","Gardiner Park",1,2009
"Assault","Gardiner Park",22,2009
"Attempted Murder","Gardiner Park",1,2009
"B&E (Business)","Gardiner Park",14,2009
"B&E (Garage)","Gardiner Park",7,2009
"B&E (Other)","Gardiner Park",7,2009
"B&E (Residence)","Gardiner Park",30,2009
"Counterfeit","Gardiner Park",29,2009
"Criminal Negligence Causing Death","Gardiner Park",0,2009
"Dangerous Operation of a Motor Vehicle","Gardiner Park",2,2009
"Deprivation of Freedom","Gardiner Park",0,2009
"Driving Suspensions","Gardiner Park",23,2009
"Drugs&Controlled Substances","Gardiner Park",4,2009
"Drugs/Substances","Gardiner Park",2,2009
"Escape Lawful Custody","Gardiner Park",1,2009
"Federal Statutes","Gardiner Park",4,2009
"Firearms offense","Gardiner Park",0,2009
"Fraud","Gardiner Park",39,2009
"Impaired Driving","Gardiner Park",8,2009
"Indecent Acts","Gardiner Park",1,2009
"Manslaughter","Gardiner Park",0,2009
"Mischief","Gardiner Park",140,2009
"Motor Vehicle Accidents","Gardiner Park",145,2009
"Municipal Bylaws","Gardiner Park",3,2009
"Murder 1st Degree","Gardiner Park",0,2009
"Murder 2nd Degree","Gardiner Park",0,2009
"Offensive Weapons","Gardiner Park",2,2009
"Other Criminal Acts","Gardiner Park",3,2009
"Other Criminal Code Driving Violations","Gardiner Park",0,2009
"Other Sexual Crime","Gardiner Park",0,2009
"Property Damage","Gardiner Park",0,2009
"Prostitution","Gardiner Park",0,2009
"Provincial Statute Driving Violations","Gardiner Park",198,2009
"Provincial Statutes","Gardiner Park",23,2009
"Robbery","Gardiner Park",1,2009
"Robbery-Commercial","Gardiner Park",1,2009
"Robbery-Person","Gardiner Park",1,2009
"Robbery-Taxi","Gardiner Park",0,2009
"Seized Vehicles","Gardiner Park",45,2009
"Sexual Assault","Gardiner Park",0,2009
"Theft From Auto Over $5K","Gardiner Park",2,2009
"Theft From Auto Under $5K","Gardiner Park",99,2009
"Theft of Auto","Gardiner Park",37,2009
"Theft Over $5K","Gardiner Park",5,2009
"Theft Under $5K","Gardiner Park",358,2009
"Threatening","Gardiner Park",3,2009
"Traffic Tickets","Gardiner Park",3,2009
"Trafficking and possession stolen goods","Gardiner Park",5,2009
"Violence/Threats","Gardiner Park",11,2009
"Total","Gardiner Park",1280,2009
"Arson","Hillsdale",4,2009
"Assault","Hillsdale",45,2009
"Attempted Murder","Hillsdale",0,2009
"B&E (Business)","Hillsdale",4,2009
"B&E (Garage)","Hillsdale",6,2009
"B&E (Other)","Hillsdale",6,2009
"B&E (Residence)","Hillsdale",13,2009
"Counterfeit","Hillsdale",0,2009
"Criminal Negligence Causing Death","Hillsdale",0,2009
"Dangerous Operation of a Motor Vehicle","Hillsdale",2,2009
"Deprivation of Freedom","Hillsdale",0,2009
"Driving Suspensions","Hillsdale",16,2009
"Drugs&Controlled Substances","Hillsdale",19,2009
"Drugs/Substances","Hillsdale",1,2009
"Escape Lawful Custody","Hillsdale",0,2009
"Federal Statutes","Hillsdale",10,2009
"Firearms offense","Hillsdale",1,2009
"Fraud","Hillsdale",8,2009
"Impaired Driving","Hillsdale",3,2009
"Indecent Acts","Hillsdale",2,2009
"Manslaughter","Hillsdale",0,2009
"Mischief","Hillsdale",159,2009
"Motor Vehicle Accidents","Hillsdale",65,2009
"Municipal Bylaws","Hillsdale",13,2009
"Murder 1st Degree","Hillsdale",0,2009
"Murder 2nd Degree","Hillsdale",0,2009
"Offensive Weapons","Hillsdale",5,2009
"Other Criminal Acts","Hillsdale",9,2009
"Other Criminal Code Driving Violations","Hillsdale",1,2009
"Other Sexual Crime","Hillsdale",2,2009
"Property Damage","Hillsdale",0,2009
"Prostitution","Hillsdale",0,2009
"Provincial Statute Driving Violations","Hillsdale",83,2009
"Provincial Statutes","Hillsdale",48,2009
"Robbery","Hillsdale",3,2009
"Robbery-Commercial","Hillsdale",2,2009
"Robbery-Person","Hillsdale",4,2009
"Robbery-Taxi","Hillsdale",0,2009
"Seized Vehicles","Hillsdale",58,2009
"Sexual Assault","Hillsdale",4,2009
"Theft From Auto Over $5K","Hillsdale",2,2009
"Theft From Auto Under $5K","Hillsdale",58,2009
"Theft of Auto","Hillsdale",22,2009
"Theft Over $5K","Hillsdale",0,2009
"Theft Under $5K","Hillsdale",62,2009
"Threatening","Hillsdale",2,2009
"Traffic Tickets","Hillsdale",0,2009
"Trafficking and possession stolen goods","Hillsdale",3,2009
"Violence/Threats","Hillsdale",13,2009
