"crime","neighbourhood","incidents","year"
"Arson","Al Ritchie",9,2011
"Assault","Al Ritchie",116,2011
"Attempted Murder","Al Ritchie",0,2011
"B&E (Business)","Al Ritchie",8,2011
"B&E (Garage)","Al Ritchie",34,2011
"B&E (Other)","Al Ritchie",2,2011
"B&E (Residence)","Al Ritchie",40,2011
"Counterfeit","Al Ritchie",0,2011
"Criminal Negligence Causing Death","Al Ritchie",0,2011
"Dangerous Operation of a Motor Vehicle","Al Ritchie",5,2011
"Deprivation of Freedom","Al Ritchie",2,2011
"Driving Suspensions","Al Ritchie",66,2011
"Drugs&Controlled Substances","Al Ritchie",51,2011
"Drugs/Substances","Al Ritchie",1,2011
"Escape Lawful Custody","Al Ritchie",0,2011
"Federal Statutes","Al Ritchie",10,2011
"Firearms offense","Al Ritchie",1,2011
"Fraud","Al Ritchie",8,2011
"Impaired Driving","Al Ritchie",49,2011
"Indecent Acts","Al Ritchie",2,2011
"Manslaughter","Al Ritchie",0,2011
"Mischief","Al Ritchie",141,2011
"Motor Vehicle Accidents","Al Ritchie",137,2011
"Municipal Bylaws","Al Ritchie",7,2011
"Murder 1st Degree","Al Ritchie",0,2011
"Murder 2nd Degree","Al Ritchie",0,2011
"Offensive Weapons","Al Ritchie",7,2011
"Other Criminal Acts","Al Ritchie",7,2011
"Other Criminal Code Driving Violations","Al Ritchie",8,2011
"Other Sexual Crime","Al Ritchie",0,2011
"Property Damage","Al Ritchie",1,2011
"Prostitution","Al Ritchie",0,2011
"Provincial Statute Driving Violations","Al Ritchie",126,2011
"Provincial Statutes","Al Ritchie",83,2011
"Robbery","Al Ritchie",4,2011
"Robbery-Commercial","Al Ritchie",0,2011
"Robbery-Person","Al Ritchie",7,2011
"Robbery-Taxi","Al Ritchie",0,2011
"Seized Vehicles","Al Ritchie",103,2011
"Sexual Assault","Al Ritchie",2,2011
"Theft From Auto Over $5K","Al Ritchie",2,2011
"Theft From Auto Under $5K","Al Ritchie",139,2011
"Theft of Auto","Al Ritchie",63,2011
"Theft Over $5K","Al Ritchie",0,2011
"Theft Under $5K","Al Ritchie",83,2011
"Threatening","Al Ritchie",5,2011
"Traffic Tickets","Al Ritchie",14,2011
"Trafficking and possession stolen goods","Al Ritchie",13,2011
"Violence/Threats","Al Ritchie",24,2011
"Total","Al Ritchie",1380,2011
"Arson","Albert Park",3,2011
"Assault","Albert Park",48,2011
"Attempted Murder","Albert Park",0,2011
"B&E (Business)","Albert Park",9,2011
"B&E (Garage)","Albert Park",11,2011
"B&E (Other)","Albert Park",8,2011
"B&E (Residence)","Albert Park",31,2011
"Counterfeit","Albert Park",9,2011
"Criminal Negligence Causing Death","Albert Park",0,2011
"Dangerous Operation of a Motor Vehicle","Albert Park",2,2011
"Deprivation of Freedom","Albert Park",1,2011
"Driving Suspensions","Albert Park",32,2011
"Drugs&Controlled Substances","Albert Park",15,2011
"Drugs/Substances","Albert Park",0,2011
"Escape Lawful Custody","Albert Park",0,2011
"Federal Statutes","Albert Park",3,2011
"Firearms offense","Albert Park",0,2011
"Fraud","Albert Park",47,2011
"Impaired Driving","Albert Park",18,2011
"Indecent Acts","Albert Park",3,2011
"Manslaughter","Albert Park",0,2011
"Mischief","Albert Park",92,2011
"Motor Vehicle Accidents","Albert Park",170,2011
"Municipal Bylaws","Albert Park",3,2011
"Murder 1st Degree","Albert Park",0,2011
"Murder 2nd Degree","Albert Park",0,2011
"Offensive Weapons","Albert Park",5,2011
"Other Criminal Acts","Albert Park",9,2011
"Other Criminal Code Driving Violations","Albert Park",14,2011
"Other Sexual Crime","Albert Park",2,2011
"Property Damage","Albert Park",0,2011
"Prostitution","Albert Park",4,2011
"Provincial Statute Driving Violations","Albert Park",289,2011
"Provincial Statutes","Albert Park",69,2011
"Robbery","Albert Park",0,2011
"Robbery-Commercial","Albert Park",3,2011
"Robbery-Person","Albert Park",3,2011
"Robbery-Taxi","Albert Park",0,2011
"Seized Vehicles","Albert Park",96,2011
"Sexual Assault","Albert Park",3,2011
"Theft From Auto Over $5K","Albert Park",3,2011
"Theft From Auto Under $5K","Albert Park",104,2011
"Theft of Auto","Albert Park",41,2011
"Theft Over $5K","Albert Park",2,2011
"Theft Under $5K","Albert Park",147,2011
"Threatening","Albert Park",1,2011
"Traffic Tickets","Albert Park",23,2011
"Trafficking and possession stolen goods","Albert Park",9,2011
"Violence/Threats","Albert Park",16,2011
"Total","Albert Park",1348,2011
"Arson","Argyle Park",0,2011
"Assault","Argyle Park",24,2011
"Attempted Murder","Argyle Park",0,2011
"B&E (Business)","Argyle Park",1,2011
"B&E (Garage)","Argyle Park",9,2011
"B&E (Other)","Argyle Park",0,2011
"B&E (Residence)","Argyle Park",10,2011
"Counterfeit","Argyle Park",0,2011
"Criminal Negligence Causing Death","Argyle Park",0,2011
"Dangerous Operation of a Motor Vehicle","Argyle Park",1,2011
"Deprivation of Freedom","Argyle Park",0,2011
"Driving Suspensions","Argyle Park",27,2011
"Drugs&Controlled Substances","Argyle Park",6,2011
"Drugs/Substances","Argyle Park",1,2011
"Escape Lawful Custody","Argyle Park",0,2011
