"crime","neighbourhood","incidents","year"
"Arson","Al Ritchie",5,2008
"Assault","Al Ritchie",118,2008
"Attempted Murder","Al Ritchie",1,2008
"B&E (Business)","Al Ritchie",5,2008
"B&E (Garage)","Al Ritchie",59,2008
"B&E (Other)","Al Ritchie",6,2008
"B&E (Residence)","Al Ritchie",65,2008
"Counterfeit","Al Ritchie",0,2008
"Dangerous Operation of a Motor Vehicle","Al Ritchie",0,2008
"Deprivation of Freedom","Al Ritchie",4,2008
"Driving Suspensions","Al Ritchie",29,2008
"Drugs&Controlled Substances","Al Ritchie",22,2008
"Drugs/Substances","Al Ritchie",3,2008
"Escape Lawful Custody","Al Ritchie",0,2008
"Federal Statutes","Al Ritchie",13,2008
"Firearms offense","Al Ritchie",2,2008
"Fraud","Al Ritchie",15,2008
"Impaired Driving","Al Ritchie",19,2008
"Indecent Acts","Al Ritchie",2,2008
"Manslaughter","Al Ritchie",0,2008
"Mischief","Al Ritchie",214,2008
"Motor Vehicle Accidents","Al Ritchie",60,2008
"Municipal Bylaws","Al Ritchie",17,2008
"Murder 2nd Degree","Al Ritchie",0,2008
"Offensive Weapons","Al Ritchie",14,2008
"Other Criminal Acts","Al Ritchie",14,2008
"Other Criminal Code Driving Violations","Al Ritchie",2,2008
"Other Sexual Crime","Al Ritchie",0,2008
"Property Damage","Al Ritchie",0,2008
"Prostitution","Al Ritchie",0,2008
"Provincial Statute Driving Violations","Al Ritchie",39,2008
"Provincial Statutes","Al Ritchie",82,2008
"Robbery","Al Ritchie",2,2008
"Robbery-Commercial","Al Ritchie",1,2008
"Robbery-Person","Al Ritchie",5,2008
"Robbery-Taxi","Al Ritchie",0,2008
"Seized Vehicles","Al Ritchie",113,2008
"Sexual Assault","Al Ritchie",8,2008
"Theft From Auto Over $5K","Al Ritchie",1,2008
"Theft From Auto Under $5K","Al Ritchie",122,2008
"Theft of Auto","Al Ritchie",70,2008
"Theft Over $5K","Al Ritchie",0,2008
"Theft Under $5K","Al Ritchie",118,2008
"Threatening","Al Ritchie",1,2008
"Trafficking and possession stolen goods","Al Ritchie",16,2008
"Violence/Threats","Al Ritchie",31,2008
"Total","Al Ritchie",1298,2008
"Arson","Albert Park",5,2008
"Assault","Albert Park",54,2008
"Attempted Murder","Albert Park",0,2008
