"crime","neighbourhood","incidents","year"
"Arson","Al Ritchie",4,2010
"Assault","Al Ritchie",121,2010
"Attempted Murder","Al Ritchie",0,2010
"B&E (Business)","Al Ritchie",4,2010
"B&E (Garage)","Al Ritchie",32,2010
"B&E (Other)","Al Ritchie",3,2010
"B&E (Residence)","Al Ritchie",44,2010
"Counterfeit","Al Ritchie",1,2010
"Criminal Negligence Causing Death","Al Ritchie",0,2010
"Dangerous Operation of a Motor Vehicle","Al Ritchie",5,2010
"Deprivation of Freedom","Al Ritchie",1,2010
"Driving Suspensions","Al Ritchie",65,2010
"Drugs&Controlled Substances","Al Ritchie",22,2010
"Drugs/Substances","Al Ritchie",4,2010
"Escape Lawful Custody","Al Ritchie",0,2010
"Federal Statutes","Al Ritchie",13,2010
"Firearms offense","Al Ritchie",3,2010
"Fraud","Al Ritchie",12,2010
"Impaired Driving","Al Ritchie",23,2010
"Indecent Acts","Al Ritchie",4,2010
"Mischief","Al Ritchie",149,2010
"Motor Vehicle Accidents","Al Ritchie",49,2010
"Municipal Bylaws","Al Ritchie",16,2010
"Murder 1st Degree","Al Ritchie",0,2010
"Murder 2nd Degree","Al Ritchie",0,2010
"Offensive Weapons","Al Ritchie",5,2010
"Other Criminal Acts","Al Ritchie",16,2010
"Other Criminal Code Driving Violations","Al Ritchie",2,2010
"Other Sexual Crime","Al Ritchie",1,2010
"Property Damage","Al Ritchie",0,2010
"Prostitution","Al Ritchie",0,2010
"Provincial Statute Driving Violations","Al Ritchie",103,2010
"Provincial Statutes","Al Ritchie",102,2010
"Robbery","Al Ritchie",2,2010
"Robbery-Commercial","Al Ritchie",7,2010
"Robbery-Person","Al Ritchie",6,2010
"Robbery-Taxi","Al Ritchie",2,2010
"Seized Vehicles","Al Ritchie",138,2010
"Sexual Assault","Al Ritchie",4,2010
"Theft From Auto Over $5K","Al Ritchie",1,2010
"Theft From Auto Under $5K","Al Ritchie",89,2010
"Theft of Auto","Al Ritchie",69,2010
"Theft Over $5K","Al Ritchie",1,2010
"Theft Under $5K","Al Ritchie",86,2010
"Threatening","Al Ritchie",3,2010
"Traffic Tickets","Al Ritchie",2,2010
"Trafficking and possession stolen goods","Al Ritchie",13,2010
"Violence/Threats","Al Ritchie",22,2010
"Total","Al Ritchie",1249,2010
"Arson","Albert Park",1,2010
"Assault","Albert Park",54,2010
"Attempted Murder","Albert Park",0,2010
"B&E (Business)","Albert Park",7,2010
"B&E (Garage)","Albert Park",9,2010
"B&E (Other)","Albert Park",10,2010
"B&E (Residence)","Albert Park",18,2010
"Counterfeit","Albert Park",4,2010
"Criminal Negligence Causing Death","Albert Park",0,2010
"Dangerous Operation of a Motor Vehicle","Albert Park",6,2010
"Deprivation of Freedom","Albert Park",1,2010
"Driving Suspensions","Albert Park",60,2010
"Drugs&Controlled Substances","Albert Park",17,2010
"Drugs/Substances","Albert Park",1,2010
"Escape Lawful Custody","Albert Park",0,2010
"Federal Statutes","Albert Park",4,2010
"Firearms offense","Albert Park",0,2010
"Fraud","Albert Park",43,2010
"Impaired Driving","Albert Park",20,2010
"Indecent Acts","Albert Park",2,2010
"Mischief","Albert Park",108,2010
"Motor Vehicle Accidents","Albert Park",66,2010
"Municipal Bylaws","Albert Park",5,2010
"Murder 1st Degree","Albert Park",0,2010
"Murder 2nd Degree","Albert Park",0,2010
"Offensive Weapons","Albert Park",5,2010
"Other Criminal Acts","Albert Park",6,2010
"Other Criminal Code Driving Violations","Albert Park",0,2010
"Other Sexual Crime","Albert Park",2,2010
"Property Damage","Albert Park",0,2010
"Prostitution","Albert Park",0,2010
"Provincial Statute Driving Violations","Albert Park",210,2010
"Provincial Statutes","Albert Park",59,2010
"Robbery","Albert Park",1,2010
"Robbery-Commercial","Albert Park",4,2010
"Robbery-Person","Albert Park",4,2010
"Robbery-Taxi","Albert Park",0,2010
"Seized Vehicles","Albert Park",125,2010
"Sexual Assault","Albert Park",4,2010
"Theft From Auto Over $5K","Albert Park",1,2010
"Theft From Auto Under $5K","Albert Park",113,2010
"Theft of Auto","Albert Park",50,2010
"Theft Over $5K","Albert Park",1,2010
"Theft Under $5K","Albert Park",131,2010
"Threatening","Albert Park",3,2010
"Traffic Tickets","Albert Park",4,2010
"Trafficking and possession stolen goods","Albert Park",8,2010
"Violence/Threats","Albert Park",13,2010
"Total","Albert Park",1180,2010
"Arson","Argyle Park",0,2010
"Assault","Argyle Park",33,2010
"Attempted Murder","Argyle Park",0,2010
"B&E (Business)","Argyle Park",1,2010
"B&E (Garage)","Argyle Park",1,2010
"B&E (Other)","Argyle Park",2,2010
